,generation,best,average,worst
141,141,102381.0,-296294.44,-1489598.0
142,142,63897.0,-329664.415,-1415439.0
143,143,96158.0,-341271.415,-1059833.0
144,144,90123.0,-343955.82,-1357056.0
145,145,104265.0,-274320.605,-1066505.0
146,146,108562.0,-302029.805,-1137208.0
147,147,91687.0,-306210.605,-1259640.0
148,148,95631.0,-288867.905,-1372022.0
149,149,116160.0,-300583.37,-1288302.0
150,150,85141.99999999999,-283202.475,-1624802.0
151,151,76746.0,-331868.955,-1222867.0
152,152,80759.0,-280498.5,-1071966.0
153,153,124602.0,-324503.245,-1276108.0
154,154,103805.0,-274352.595,-1312414.0
155,155,102589.0,-301682.835,-1318771.0
156,156,105269.0,-271720.76,-1358704.0
157,157,108370.0,-267653.19,-1439670.0
158,158,93292.0,-255331.445,-1310294.0
159,159,88694.0,-255510.475,-1320459.0
160,160,106597.0,-244206.48,-989822.0
161,161,96591.0,-249993.885,-1249775.0
162,162,96591.0,-225743.575,-1096444.0
163,163,105468.0,-269695.885,-1267273.0
164,164,111820.0,-272666.6,-1783642.0
165,165,100700.0,-277930.32,-1341722.0
166,166,130253.0,-241722.595,-1198002.0
167,167,119323.0,-227572.97,-1334676.0
168,168,107811.0,-254630.87,-1464260.0
169,169,106868.0,-227613.695,-1136836.0
170,170,121763.0,-242038.675,-1230217.0
171,171,123710.0,-254717.49,-1121060.0
172,172,111075.0,-197500.515,-1006699.0
173,173,98871.0,-190292.48,-1130468.0
174,174,124771.0,-191361.25,-855735.0
175,175,139468.0,-186480.57,-1520811.0
176,176,155798.0,-204291.43,-1417541.0
177,177,131114.0,-175659.71,-1185691.0
178,178,158915.0,-183722.36,-1140516.0
179,179,167893.0,-168471.12,-1019250.0
180,180,124885.0,-169437.84,-946878.0
181,181,147105.0,-218315.18,-1350971.0
182,182,155353.0,-196761.06,-822335.0
183,183,163139.0,-172537.04,-1122488.0
184,184,165538.0,-209978.145,-1470695.0
185,185,143845.0,-210146.86,-1150307.0
186,186,130691.0,-210120.66,-1510469.0
187,187,143160.0,-167681.81,-972900.0
188,188,131617.0,-199209.665,-970128.0
189,189,141721.0,-177903.62,-1125294.0
190,190,143884.0,-202519.105,-1218100.0
191,191,117726.0,-173686.78,-1224435.0
192,192,135734.0,-193051.83,-1189835.0
193,193,131664.0,-174836.825,-1341973.0
194,194,122992.0,-199180.15,-1315149.0
195,195,127841.0,-194596.605,-1350834.0
196,196,186452.0,-174534.975,-1299521.0
197,197,183651.0,-166326.925,-891292.0
198,198,175889.0,-161380.83,-1220241.0
